Date,DayOfWeek,Guests,Event,Weather,Dish,Prepared_Qty,Sold_Qty,Waste_Qty
06-10-2024,Sunday,197,,Sunny,Veg Pulao,50,48,9
11-07-2024,Thursday,80,,Cloudy,Falafel Wrap,34,34,3
15-03-2024,Friday,375,Festival,Rainy,Butter Naan,50,49,7
17-01-2024,Wednesday,110,,Hot,Fried Rice,28,25,3
11-06-2024,Tuesday,164,,Sunny,Masala Dosa,25,25,3
03-04-2024,Wednesday,153,,Hot,Pav Bhaji,29,28,7
17-10-2024,Thursday,314,,Cloudy,Paneer Butter Masala,32,28,4
05-12-2024,Thursday,293,,Cloudy,Veg Pulao,26,23,3
19-04-2024,Friday,281,,Sunny,Miso Soup,49,48,7
29-03-2024,Friday,267,Festival,Sunny,Paneer Butter Masala,50,47,3
25-06-2024,Tuesday,261,,Sunny,Veg Pulao,28,25,3
07-03-2024,Thursday,292,,Cloudy,Chicken Curry,45,42,3
16-04-2024,Tuesday,114,,Rainy,Idli Sambar,44,42,9
03-01-2024,Wednesday,321,Wedding,Hot,Grilled Fish,44,40,4
20-01-2024,Saturday,314,Conference,Rainy,Veg Biryani,47,43,4
03-04-2024,Wednesday,61,Wedding,Rainy,Pasta Alfredo,35,31,4
25-01-2024,Thursday,114,,Hot,Veg Biryani,43,40,3
14-12-2024,Saturday,252,,Cold,Veg Pulao,43,41,9
12-02-2024,Monday,218,,Cold,Mutton Curry,29,27,9
05-08-2024,Monday,290,,Rainy,Chicken Biryani,44,42,9
10-01-2024,Wednesday,206,Conference,Rainy,Masala Dosa,47,43,4
29-08-2024,Thursday,172,Wedding,Cold,Chicken Biryani,50,46,4
06-01-2024,Saturday,359,,Cold,Masala Dosa,50,48,9
28-01-2024,Sunday,152,Wedding,Hot,Masala Dosa,50,49,7
08-02-2024,Thursday,106,Wedding,Cold,Butter Naan,49,49,3
25-04-2024,Thursday,180,,Sunny,Hakka Noodles,26,26,3
17-03-2024,Sunday,80,,Rainy,Idli Sambar,31,27,4
30-08-2024,Friday,305,,Cold,Chole Bhature,46,42,4
09-06-2024,Sunday,369,Conference,Rainy,Idli Sambar,50,48,9
01-01-2024,Monday,91,,Rainy,Chicken Curry,26,26,3
28-02-2024,Wednesday,102,,Hot,Paneer Butter Masala,43,42,7
29-01-2024,Monday,262,Conference,Cold,Veg Biryani,50,50,3
21-06-2024,Friday,87,,Cold,Idli Sambar,36,36,3
24-07-2024,Wednesday,247,,Hot,Masala Dosa,23,21,9
27-12-2024,Friday,314,,Rainy,Paneer Butter Masala,50,49,7
03-04-2024,Wednesday,112,Festival,Sunny,Pizza Margherita,40,40,3
21-02-2024,Wednesday,221,,Rainy,Aloo Paratha,26,22,4
01-06-2024,Saturday,212,,Hot,Masala Dosa,26,26,3
23-03-2024,Saturday,357,,Hot,Butter Naan,50,48,9
20-04-2024,Saturday,341,Wedding,Rainy,Paneer Butter Masala,50,49,7
22-12-2024,Sunday,242,,Sunny,Masala Dosa,24,22,9
23-09-2024,Monday,183,Corporate Party,Rainy,Paneer Butter Masala,50,49,7
03-03-2024,Sunday,181,,Cloudy,Idli Sambar,28,28,3
06-11-2024,Wednesday,380,Conference,Cold,Aloo Paratha,50,50,3
19-05-2024,Sunday,317,,Rainy,Dal Tadka,50,47,3
25-10-2024,Friday,50,,Hot,Paneer Butter Masala,20,18,9
12-11-2024,Tuesday,204,,Cold,Fried Rice,27,27,3
26-04-2024,Friday,190,,Cold,Paneer Butter Masala,39,39,3
28-06-2024,Friday,251,,Cloudy,Pasta Alfredo,42,42,3
19-04-2024,Friday,98,,Cold,Idli Sambar,40,40,3
25-08-2024,Sunday,204,,Rainy,Paneer Tikka,33,29,4
01-02-2024,Thursday,225,,Hot,Masala Dosa,31,31,3
24-04-2024,Wednesday,81,Conference,Hot,Butter Naan,33,33,3
15-09-2024,Sunday,205,,Rainy,Mutton Curry,47,43,4
27-04-2024,Saturday,143,,Hot,Pasta Alfredo,41,41,3
15-11-2024,Friday,168,,Cloudy,Pav Bhaji,35,35,3
22-09-2024,Sunday,206,,Cloudy,Butter Naan,39,39,3
04-09-2024,Wednesday,397,Wedding,Cloudy,Pav Bhaji,38,34,4
07-06-2024,Friday,176,Festival,Sunny,Butter Naan,44,44,3
05-05-2024,Sunday,225,,Rainy,Butter Naan,46,44,9
27-07-2024,Saturday,276,Festival,Rainy,Masala Dosa,50,48,9
03-11-2024,Sunday,145,Festival,Sunny,Masala Dosa,40,40,3
20-12-2024,Friday,336,,Cold,Paneer Tikka,49,49,3
25-02-2024,Sunday,343,Festival,Hot,Dal Tadka,41,39,9
07-01-2024,Sunday,261,,Sunny,Idli Sambar,33,32,7
27-12-2024,Friday,212,Conference,Hot,Veg Pulao,50,47,3
08-08-2024,Thursday,98,,Sunny,Chicken Curry,25,22,3
13-09-2024,Friday,160,,Cold,Veg Biryani,26,26,3
02-05-2024,Thursday,190,,Rainy,Chole Bhature,28,28,3
01-03-2024,Friday,115,Corporate Party,Sunny,Dal Tadka,49,49,3
26-06-2024,Wednesday,286,,Hot,Masala Dosa,20,18,9
23-05-2024,Thursday,213,,Hot,Idli Sambar,32,30,9
03-11-2024,Sunday,203,Festival,Cloudy,Chicken Curry,50,50,3
06-08-2024,Tuesday,283,,Sunny,Chicken Biryani,35,35,3
08-10-2024,Tuesday,226,,Cold,Pizza Margherita,36,36,3
27-02-2024,Tuesday,124,,Cloudy,Paneer Butter Masala,47,47,3
03-06-2024,Monday,216,,Cloudy,Fried Rice,25,21,4
16-09-2024,Monday,284,,Cold,Butter Naan,28,28,3
07-06-2024,Friday,105,,Sunny,Paneer Butter Masala,38,38,3
03-03-2024,Sunday,251,,Rainy,Paneer Tikka,47,47,3
02-03-2024,Saturday,202,Wedding,Cloudy,Pizza Margherita,50,50,3
14-02-2024,Wednesday,356,,Cloudy,Paneer Tikka,50,49,7
31-08-2024,Saturday,234,Corporate Party,Rainy,Veg Pulao,45,43,9
15-11-2024,Friday,326,,Hot,Grilled Fish,35,35,3
17-11-2024,Sunday,300,,Cloudy,Paneer Butter Masala,26,26,3
13-07-2024,Saturday,294,Festival,Hot,Paneer Butter Masala,32,32,3
05-11-2024,Tuesday,238,,Rainy,Veg Manchurian,33,33,3
14-12-2024,Saturday,165,Conference,Rainy,Pav Bhaji,47,47,3
31-03-2024,Sunday,349,Wedding,Cloudy,Chicken Curry,50,47,3
29-08-2024,Thursday,145,,Hot,Tofu Curry,32,32,3
23-03-2024,Saturday,148,Festival,Sunny,Veg Biryani,49,48,7
22-03-2024,Friday,160,Wedding,Cloudy,Idli Sambar,37,37,3
09-12-2024,Monday,278,,Cold,Aloo Paratha,48,47,7
14-04-2024,Sunday,92,,Cold,Paneer Tikka,32,32,3
11-09-2024,Wednesday,211,,Rainy,Aloo Paratha,32,32,3
11-03-2024,Monday,320,Conference,Cloudy,Paneer Butter Masala,50,50,3
27-10-2024,Sunday,206,Corporate Party,Sunny,Chicken Biryani,40,40,3
22-11-2024,Friday,143,,Rainy,Paneer Butter Masala,33,33,3
24-08-2024,Saturday,120,,Sunny,Dal Tadka,28,28,3
11-11-2024,Monday,267,Wedding,Cloudy,Chicken Biryani,40,40,3
08-06-2024,Saturday,163,Corporate Party,Rainy,Masala Dosa,50,48,9
22-09-2024,Sunday,86,,Rainy,Chole Bhature,46,46,3
09-08-2024,Friday,203,,Cloudy,Mutton Curry,21,20,7
11-02-2024,Sunday,218,,Cold,Paneer Tikka,36,36,3
17-01-2024,Wednesday,233,,Hot,Aloo Paratha,39,37,9
13-01-2024,Saturday,211,,Cloudy,Masala Dosa,26,26,3
31-03-2024,Sunday,325,Wedding,Hot,Butter Naan,45,43,9
22-10-2024,Tuesday,148,,Cloudy,Fried Rice,42,42,3
19-04-2024,Friday,177,Corporate Party,Rainy,Butter Naan,50,46,4
03-10-2024,Thursday,279,Festival,Cloudy,Pasta Alfredo,48,47,7
15-12-2024,Sunday,55,,Sunny,Grilled Fish,46,46,3
16-03-2024,Saturday,112,,Hot,Butter Naan,39,36,3
25-07-2024,Thursday,92,,Sunny,Paneer Butter Masala,21,18,3
12-08-2024,Monday,279,Festival,Sunny,Paneer Butter Masala,38,37,7
18-01-2024,Thursday,288,Corporate Party,Cold,Fried Rice,47,45,9
09-11-2024,Saturday,351,,Hot,Pizza Margherita,33,33,3
24-04-2024,Wednesday,74,,Hot,Pasta Alfredo,20,20,3
09-12-2024,Monday,135,,Rainy,Masala Dosa,31,31,3
04-01-2024,Thursday,321,,Cloudy,Paneer Tikka,27,23,4
11-02-2024,Sunday,117,,Hot,Dal Tadka,26,23,3
06-06-2024,Thursday,125,,Rainy,Masala Dosa,27,27,3
03-11-2024,Sunday,224,,Rainy,Butter Naan,30,29,7
25-02-2024,Sunday,303,Wedding,Sunny,Dal Tadka,50,49,7
28-05-2024,Tuesday,209,,Rainy,Aloo Paratha,35,35,3
20-04-2024,Saturday,316,,Rainy,Paneer Butter Masala,39,39,3
30-05-2024,Thursday,165,,Sunny,Chicken Biryani,36,36,3
21-03-2024,Thursday,319,,Hot,Aloo Paratha,47,44,3
10-05-2024,Friday,133,Wedding,Sunny,Veg Pulao,39,39,3
28-12-2024,Saturday,108,Festival,Sunny,Pizza Margherita,39,36,3
25-06-2024,Tuesday,306,Festival,Sunny,Mutton Curry,50,46,4
09-10-2024,Wednesday,71,,Cloudy,Pizza Margherita,21,20,7
30-11-2024,Saturday,257,,Hot,Dal Tadka,47,47,3
22-05-2024,Wednesday,192,Conference,Cold,Masala Dosa,44,44,3
17-01-2024,Wednesday,196,,Cloudy,Chicken Curry,50,50,3
28-12-2024,Saturday,302,,Sunny,Dal Tadka,50,47,3
09-02-2024,Friday,373,,Rainy,Veg Biryani,49,49,3
27-06-2024,Thursday,280,Wedding,Hot,Paneer Butter Masala,50,46,4
17-01-2024,Wednesday,337,,Rainy,Grilled Fish,41,41,3
24-03-2024,Sunday,242,,Hot,Aloo Paratha,31,29,9
23-07-2024,Tuesday,58,,Hot,Chole Bhature,26,26,3
29-07-2024,Monday,368,,Cloudy,Grilled Fish,41,41,3
09-06-2024,Sunday,323,,Sunny,Beetroot Salad,32,31,7
05-03-2024,Tuesday,83,Wedding,Sunny,Fried Rice,38,37,7
25-10-2024,Friday,113,,Sunny,Veg Manchurian,41,41,3
22-01-2024,Monday,126,,Hot,Hakka Noodles,45,43,9
21-03-2024,Thursday,222,,Rainy,Pizza Margherita,39,39,3
09-03-2024,Saturday,278,Wedding,Cold,Grilled Fish,50,50,3
21-05-2024,Tuesday,298,,Sunny,Chicken Biryani,46,46,3
16-07-2024,Tuesday,195,,Hot,Masala Dosa,29,25,4
26-01-2024,Friday,226,Festival,Hot,Dal Tadka,32,30,9
17-02-2024,Saturday,226,,Cloudy,Veg Biryani,31,30,7
25-07-2024,Thursday,206,,Cloudy,Fried Rice,23,23,3
20-06-2024,Thursday,179,,Hot,Pizza Margherita,20,20,3
08-11-2024,Friday,93,,Rainy,Butter Naan,46,45,7
24-03-2024,Sunday,260,,Cold,Grilled Fish,34,34,3
16-10-2024,Wednesday,245,Festival,Rainy,Chicken Curry,50,50,3
04-01-2024,Thursday,139,Wedding,Sunny,Fried Rice,50,50,3
29-05-2024,Wednesday,64,Corporate Party,Hot,Dal Tadka,32,32,3
18-09-2024,Wednesday,168,,Cloudy,Masala Dosa,34,31,3
25-05-2024,Saturday,237,Festival,Hot,Mutton Curry,50,50,3
13-09-2024,Friday,159,,Cloudy,Fried Rice,39,39,3
15-05-2024,Wednesday,185,Corporate Party,Cold,Paneer Butter Masala,50,46,4
23-04-2024,Tuesday,271,,Rainy,Aloo Paratha,27,27,3
07-03-2024,Thursday,66,Festival,Cloudy,Paneer Butter Masala,41,40,7
31-10-2024,Thursday,250,,Hot,Fried Rice,46,43,3
29-07-2024,Monday,215,,Cold,Aloo Paratha,45,45,3
02-05-2024,Thursday,279,Corporate Party,Rainy,Aloo Paratha,44,44,3
15-09-2024,Sunday,364,Festival,Hot,Paneer Butter Masala,50,46,4
12-09-2024,Thursday,70,,Cold,Hakka Noodles,24,24,3
23-06-2024,Sunday,138,,Cloudy,Chicken Curry,26,23,3
29-11-2024,Friday,88,Conference,Cloudy,Veg Manchurian,28,28,3
16-06-2024,Sunday,350,,Hot,Pizza Margherita,50,47,3
08-06-2024,Saturday,381,,Cold,Bruschetta,50,49,7
20-02-2024,Tuesday,125,Festival,Rainy,Pasta Alfredo,50,50,3
21-09-2024,Saturday,328,,Rainy,Chicken Curry,38,38,3
22-06-2024,Saturday,381,Wedding,Hot,Chicken Curry,45,45,3
04-12-2024,Wednesday,68,Wedding,Sunny,Veg Pulao,50,49,7
12-06-2024,Wednesday,181,Wedding,Hot,Mutton Curry,31,28,3
05-02-2024,Monday,324,Festival,Rainy,Paneer Butter Masala,48,45,3
11-04-2024,Thursday,353,Conference,Rainy,Paneer Tikka,46,42,4
20-07-2024,Saturday,353,Festival,Cold,Veg Pulao,50,49,7
18-07-2024,Thursday,69,,Sunny,Grilled Fish,42,39,3
10-11-2024,Sunday,192,,Rainy,Masala Dosa,50,47,3
25-09-2024,Wednesday,344,,Cold,Pav Bhaji,48,48,3
19-10-2024,Saturday,263,Corporate Party,Sunny,Butter Naan,50,48,9
11-04-2024,Thursday,307,Wedding,Cloudy,Paneer Butter Masala,50,50,3
15-05-2024,Wednesday,348,,Cold,Fried Rice,34,30,4
21-03-2024,Thursday,178,,Cold,Paneer Tikka,28,25,3
03-07-2024,Wednesday,56,,Sunny,Veg Pulao,42,41,7
19-02-2024,Monday,142,Wedding,Cold,Aloo Paratha,50,47,3
12-01-2024,Friday,173,,Hot,Paneer Butter Masala,46,44,9
15-04-2024,Monday,160,,Cloudy,Paneer Tikka,32,30,9
11-12-2024,Wednesday,322,,Cloudy,Mutton Curry,28,28,3
08-03-2024,Friday,174,,Cloudy,Butter Naan,30,26,4
02-07-2024,Tuesday,336,Corporate Party,Cloudy,Hakka Noodles,50,47,3
20-11-2024,Wednesday,171,,Cloudy,Chole Bhature,32,28,4
27-09-2024,Friday,266,,Rainy,Paneer Butter Masala,43,42,7
02-01-2024,Tuesday,65,Conference,Cloudy,Dal Tadka,30,27,3
08-10-2024,Tuesday,172,,Cloudy,Dal Tadka,28,28,3
07-06-2024,Friday,194,,Sunny,Pav Bhaji,20,20,3
27-06-2024,Thursday,94,Wedding,Rainy,Pasta Alfredo,47,47,3
30-08-2024,Friday,200,,Cloudy,Aloo Paratha,43,41,9
26-07-2024,Friday,178,Wedding,Rainy,Fried Rice,32,32,3
29-01-2024,Monday,130,,Rainy,Pasta Alfredo,50,50,3
01-05-2024,Wednesday,334,,Sunny,Chicken Biryani,34,31,3
10-01-2024,Wednesday,390,Wedding,Cloudy,Masala Dosa,50,50,3
20-05-2024,Monday,383,,Sunny,Fried Rice,38,36,9
21-07-2024,Sunday,63,,Rainy,Ragi Mudde,41,37,4
06-02-2024,Tuesday,309,,Hot,Chicken Biryani,50,50,3
18-05-2024,Saturday,352,,Cloudy,Dal Tadka,43,40,3
17-09-2024,Tuesday,63,,Sunny,Avocado Toast,47,47,3
22-09-2024,Sunday,142,,Cold,Grilled Fish,43,43,3
08-11-2024,Friday,391,Corporate Party,Rainy,Dal Tadka,50,47,3
20-04-2024,Saturday,249,,Sunny,Masala Dosa,26,26,3
31-07-2024,Wednesday,169,,Cloudy,Pizza Margherita,34,34,3
10-09-2024,Tuesday,237,,Hot,Mutton Curry,31,31,3
22-01-2024,Monday,281,,Hot,Chicken Biryani,36,33,3
09-05-2024,Thursday,267,Wedding,Rainy,Zucchini Pasta,50,49,7
11-08-2024,Sunday,315,Wedding,Cloudy,Paneer Tikka,50,46,4
29-08-2024,Thursday,64,,Hot,Pizza Margherita,22,22,3
17-03-2024,Sunday,347,,Cold,Aloo Paratha,50,49,7
13-06-2024,Thursday,281,Wedding,Hot,Butter Naan,50,46,4
02-08-2024,Friday,83,Corporate Party,Sunny,Veg Pulao,33,30,3
15-02-2024,Thursday,294,,Cold,Veg Biryani,37,37,3
06-11-2024,Wednesday,258,,Cold,Grilled Fish,31,31,3
23-06-2024,Sunday,356,,Sunny,Butter Naan,50,46,4
20-09-2024,Friday,211,,Sunny,Chicken Biryani,27,27,3
25-03-2024,Monday,227,Conference,Rainy,Tofu Curry,47,44,3
31-03-2024,Sunday,385,,Cloudy,Veg Pulao,42,42,3
04-11-2024,Monday,270,,Rainy,Chicken Curry,32,29,3
20-08-2024,Tuesday,141,,Cold,Idli Sambar,48,48,3
28-02-2024,Wednesday,328,,Cloudy,Grilled Fish,49,46,3
15-01-2024,Monday,314,,Cloudy,Veg Pulao,36,33,3
02-01-2024,Tuesday,120,,Sunny,Fried Rice,39,39,3
01-05-2024,Wednesday,318,,Cloudy,Veg Biryani,50,48,9
24-09-2024,Tuesday,327,,Cold,Veg Biryani,41,41,3
07-11-2024,Thursday,76,Conference,Cold,Pav Bhaji,43,40,3
24-03-2024,Sunday,394,,Hot,Pizza Margherita,34,34,3
04-10-2024,Friday,132,,Cloudy,Paneer Butter Masala,49,45,4
26-04-2024,Friday,205,,Rainy,Dal Tadka,37,37,3
07-02-2024,Wednesday,288,,Sunny,Veg Biryani,48,44,4
24-11-2024,Sunday,118,Wedding,Cloudy,Butter Naan,45,45,3
15-10-2024,Tuesday,398,,Cold,Chicken Biryani,47,45,9
16-05-2024,Thursday,300,,Hot,Mutton Curry,28,27,7
17-06-2024,Monday,265,,Rainy,Quinoa Upma,29,29,3
30-05-2024,Thursday,70,,Sunny,Pasta Alfredo,28,26,9
08-11-2024,Friday,202,,Cloudy,Aloo Paratha,39,38,7
13-11-2024,Wednesday,327,Festival,Cloudy,Falafel Wrap,50,48,9
11-07-2024,Thursday,72,,Hot,Chicken Biryani,20,20,3
04-05-2024,Saturday,330,,Rainy,Dal Tadka,45,44,7
09-08-2024,Friday,62,,Cloudy,Chicken Curry,25,25,3
22-10-2024,Tuesday,100,Festival,Rainy,Butter Naan,37,37,3
28-07-2024,Sunday,88,,Sunny,Veg Manchurian,31,31,3
21-04-2024,Sunday,265,,Cold,Veg Biryani,50,50,3
11-06-2024,Tuesday,82,,Cold,Chicken Curry,25,25,3
05-02-2024,Monday,232,Wedding,Hot,Dal Tadka,44,43,7
24-01-2024,Wednesday,138,,Sunny,Pasta Alfredo,27,27,3
12-11-2024,Tuesday,397,,Sunny,Idli Sambar,49,47,9
15-04-2024,Monday,153,,Sunny,Masala Dosa,49,46,3
09-09-2024,Monday,233,,Hot,Paneer Tikka,20,20,3
18-03-2024,Monday,56,,Cold,Chicken Curry,32,32,3
24-10-2024,Thursday,212,Conference,Hot,Veg Pulao,30,26,4
03-10-2024,Thursday,66,,Rainy,Chole Bhature,29,27,9
27-10-2024,Sunday,332,,Cloudy,Butter Naan,48,48,3
10-12-2024,Tuesday,51,,Hot,Hakka Noodles,20,20,3
10-03-2024,Sunday,66,,Sunny,Butter Naan,23,23,3
30-06-2024,Sunday,248,Wedding,Hot,Aloo Paratha,42,42,3
16-10-2024,Wednesday,350,,Cloudy,Paneer Butter Masala,33,33,3
28-05-2024,Tuesday,115,,Cloudy,Sushi Rolls,42,42,3
13-08-2024,Tuesday,89,,Sunny,Masala Dosa,27,27,3
02-07-2024,Tuesday,279,,Hot,Chicken Biryani,36,36,3
24-04-2024,Wednesday,238,Wedding,Sunny,Pav Bhaji,38,38,3
07-04-2024,Sunday,279,,Sunny,Veg Pulao,43,43,3
28-10-2024,Monday,263,,Rainy,Aloo Paratha,31,27,4
25-06-2024,Tuesday,205,,Rainy,Quinoa Upma,49,49,3
04-05-2024,Saturday,327,Festival,Hot,Veg Biryani,50,50,3
21-02-2024,Wednesday,204,,Hot,Pasta Alfredo,44,44,3
04-06-2024,Tuesday,367,,Sunny,Veg Biryani,41,41,3
28-05-2024,Tuesday,291,,Hot,Butter Naan,39,39,3
13-05-2024,Monday,109,,Sunny,Masala Dosa,29,27,9
26-07-2024,Friday,156,,Hot,Chicken Biryani,39,39,3
13-10-2024,Sunday,264,Wedding,Sunny,Paneer Tikka,50,50,3
29-02-2024,Thursday,199,,Rainy,Butter Naan,50,50,3
22-12-2024,Sunday,124,,Cold,Fried Rice,27,26,7
15-12-2024,Sunday,353,Festival,Hot,Veg Pulao,50,50,3
10-08-2024,Saturday,120,Wedding,Cold,Fried Rice,50,50,3
01-12-2024,Sunday,246,Festival,Sunny,Grilled Fish,50,50,3
19-09-2024,Thursday,251,,Hot,Dal Tadka,23,23,3
22-04-2024,Monday,116,,Rainy,Hakka Noodles,45,45,3
21-09-2024,Saturday,91,Wedding,Cloudy,Masala Dosa,44,42,9
18-08-2024,Sunday,351,,Rainy,Veg Biryani,50,49,7
15-05-2024,Wednesday,360,,Rainy,Chicken Biryani,50,50,3
06-12-2024,Friday,201,,Cloudy,Dal Tadka,21,21,3
06-08-2024,Tuesday,333,,Sunny,Chicken Curry,49,47,9
11-04-2024,Thursday,204,,Cloudy,Chole Bhature,47,43,4
11-09-2024,Wednesday,371,,Cloudy,Veg Manchurian,26,26,3
18-04-2024,Thursday,116,,Rainy,Butter Naan,42,40,9
26-10-2024,Saturday,162,,Cloudy,Paneer Butter Masala,50,50,3
23-03-2024,Saturday,66,Conference,Rainy,Veg Biryani,50,50,3
02-08-2024,Friday,194,,Cloudy,Butter Naan,45,44,7
25-05-2024,Saturday,256,,Hot,Veg Manchurian,44,44,3
31-12-2024,Tuesday,281,,Sunny,Mutton Curry,39,39,3
07-07-2024,Sunday,289,,Cloudy,Paneer Butter Masala,45,45,3
31-05-2024,Friday,249,Corporate Party,Rainy,Chicken Biryani,44,44,3
31-12-2024,Tuesday,138,,Cloudy,Avocado Toast,44,41,3
12-02-2024,Monday,54,,Cold,Veg Pulao,41,41,3
16-02-2024,Friday,134,,Cloudy,Chole Bhature,39,39,3
24-04-2024,Wednesday,279,,Rainy,Aloo Paratha,30,26,4
30-05-2024,Thursday,281,,Cloudy,Veg Pulao,40,39,7
14-09-2024,Saturday,96,,Rainy,Masala Dosa,49,46,3
07-07-2024,Sunday,140,Conference,Rainy,Dal Tadka,50,48,9
20-08-2024,Tuesday,380,Festival,Sunny,Dal Tadka,36,36,3
26-11-2024,Tuesday,66,,Rainy,Pasta Alfredo,40,39,7
13-04-2024,Saturday,121,,Sunny,Butter Naan,26,25,7
03-01-2024,Wednesday,382,,Hot,Aloo Paratha,28,27,7
29-12-2024,Sunday,241,,Hot,Mutton Curry,36,33,3
17-09-2024,Tuesday,60,,Rainy,Butter Naan,27,25,9
31-07-2024,Wednesday,218,,Cold,Fried Rice,50,50,3
03-07-2024,Wednesday,214,,Rainy,Mutton Curry,33,33,3
15-04-2024,Monday,142,,Sunny,Hakka Noodles,31,30,7
12-11-2024,Tuesday,353,Corporate Party,Cold,Masala Dosa,50,49,7
02-07-2024,Tuesday,141,,Sunny,Pav Bhaji,36,32,4
18-12-2024,Wednesday,275,,Cloudy,Chole Bhature,46,43,3
01-10-2024,Tuesday,191,,Hot,Paneer Butter Masala,31,30,7
29-12-2024,Sunday,118,,Hot,Masala Dosa,50,48,9
17-10-2024,Thursday,142,,Sunny,Hakka Noodles,20,16,4
26-08-2024,Monday,222,,Hot,Veg Pulao,42,42,3
04-04-2024,Thursday,57,,Hot,Dal Tadka,24,24,3
13-06-2024,Thursday,271,Corporate Party,Rainy,Dal Tadka,50,47,3
23-11-2024,Saturday,102,Wedding,Cold,Pasta Alfredo,49,45,4
16-01-2024,Tuesday,209,,Rainy,Paneer Butter Masala,27,26,7
10-09-2024,Tuesday,252,,Hot,Dal Tadka,29,29,3
02-05-2024,Thursday,200,,Rainy,Grilled Fish,50,49,7
05-04-2024,Friday,272,,Sunny,Dal Tadka,37,37,3
10-10-2024,Thursday,289,,Cold,Paneer Tikka,30,26,4
13-10-2024,Sunday,65,,Rainy,Paneer Butter Masala,50,50,3
14-12-2024,Saturday,229,,Rainy,Mutton Curry,50,50,3
08-05-2024,Wednesday,366,Festival,Cold,Butter Naan,50,47,3
27-01-2024,Saturday,262,,Rainy,Pizza Margherita,45,41,4
21-10-2024,Monday,310,,Hot,Grilled Fish,31,31,3
16-02-2024,Friday,291,,Cloudy,Paneer Butter Masala,38,38,3
10-01-2024,Wednesday,63,,Cold,Paneer Butter Masala,22,22,3
27-02-2024,Tuesday,296,Corporate Party,Cold,Pasta Alfredo,50,47,3
07-08-2024,Wednesday,287,,Sunny,Fried Rice,41,38,3
03-11-2024,Sunday,90,Festival,Hot,Chicken Curry,38,36,9
20-02-2024,Tuesday,224,,Cloudy,Pasta Alfredo,38,37,7
03-01-2024,Wednesday,215,,Cloudy,Masala Dosa,49,49,3
01-03-2024,Friday,224,Wedding,Sunny,Pav Bhaji,37,36,7
20-10-2024,Sunday,370,,Sunny,Pasta Alfredo,42,39,3
11-12-2024,Wednesday,278,,Hot,Dal Tadka,31,27,4
09-09-2024,Monday,294,,Rainy,Paneer Butter Masala,28,25,3
26-02-2024,Monday,90,,Cloudy,Chicken Curry,31,31,3
01-01-2024,Monday,63,,Cloudy,Chicken Curry,29,29,3
11-02-2024,Sunday,390,,Cold,Veg Pulao,39,36,3
16-11-2024,Saturday,208,,Hot,Paneer Butter Masala,50,50,3
26-06-2024,Wednesday,165,,Rainy,Paneer Butter Masala,50,50,3
07-08-2024,Wednesday,352,,Rainy,Paneer Tikka,45,45,3
11-11-2024,Monday,315,,Hot,Fried Rice,26,26,3
21-12-2024,Saturday,121,Conference,Rainy,Grilled Fish,50,50,3
25-08-2024,Sunday,95,,Sunny,Chole Bhature,35,32,3
11-08-2024,Sunday,238,Conference,Hot,Grilled Fish,38,34,4
14-09-2024,Saturday,128,,Sunny,Chicken Curry,37,36,7
21-07-2024,Sunday,88,,Sunny,Veg Pulao,28,28,3
14-07-2024,Sunday,305,,Hot,Idli Sambar,50,50,3
07-12-2024,Saturday,381,,Sunny,Pizza Margherita,50,50,3
14-11-2024,Thursday,63,Festival,Rainy,Paneer Butter Masala,36,32,4
19-02-2024,Monday,339,Festival,Cold,Fried Rice,50,50,3
18-09-2024,Wednesday,81,,Rainy,Pizza Margherita,40,36,4
29-05-2024,Wednesday,314,Wedding,Hot,Mutton Curry,50,46,4
22-11-2024,Friday,380,Festival,Hot,Idli Sambar,41,41,3
13-08-2024,Tuesday,333,Conference,Hot,Fried Rice,37,36,7
19-12-2024,Thursday,65,,Hot,Chicken Biryani,26,26,3
17-10-2024,Thursday,336,,Cloudy,Chole Bhature,50,50,3
22-10-2024,Tuesday,340,Festival,Cloudy,Paneer Butter Masala,44,40,4
18-10-2024,Friday,291,Wedding,Sunny,Pizza Margherita,50,46,4
27-05-2024,Monday,161,,Cloudy,Pasta Alfredo,36,33,3
06-04-2024,Saturday,265,,Hot,Grilled Fish,42,42,3
20-03-2024,Wednesday,221,,Sunny,Butter Naan,24,23,7
23-05-2024,Thursday,376,,Hot,Fried Rice,42,38,4
21-09-2024,Saturday,92,,Sunny,Dal Tadka,46,46,3
04-01-2024,Thursday,64,,Cold,Pizza Margherita,38,35,3
24-11-2024,Sunday,215,,Sunny,Chicken Curry,43,39,4
03-10-2024,Thursday,243,,Sunny,Veg Pulao,31,31,3
05-05-2024,Sunday,283,,Cold,Chole Bhature,50,50,3
15-07-2024,Monday,173,,Hot,Pav Bhaji,27,27,3
15-12-2024,Sunday,262,,Rainy,Masala Dosa,35,33,9
29-09-2024,Sunday,178,,Hot,Dal Tadka,31,29,9
05-01-2024,Friday,366,,Sunny,Fried Rice,34,34,3
09-05-2024,Thursday,310,,Hot,Chicken Biryani,50,48,9
11-01-2024,Thursday,324,,Cloudy,Mutton Curry,50,50,3
25-02-2024,Sunday,64,,Cloudy,Chicken Biryani,28,28,3
25-04-2024,Thursday,188,,Sunny,Paneer Tikka,31,30,7
